"","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95"
"mu1",-0.408355398320059,-0.00289029021189502,0.00385310378624415,0.963333333333333,-0.409423598571302,-0.00395849046313729,0.00658560814193556,0.953333333333333,-0.413517896521618,-0.00805278841345325,0.00686886374137585,0.963333333333333,-0.389506479918172,0.0159586281899923,0.00655574532954675,0.966666666666667
"mu2",0.506543123992739,0.00654312399273926,0.00564539986782552,0.946666666666667,0.505065595236021,0.00506559523602135,0.0064949257182901,0.95,0.504391766603778,0.00439176660377849,0.00675755273488621,0.943333333333333,0.518456491499204,0.0184564914992045,0.00918909037639782,0.963333333333333
"mu3",-0.302188982142109,-0.00218898214210894,0.00461900561430621,0.97,-0.28999533338619,0.0100046666138101,0.00488106447313085,0.976666666666667,-0.269410556904757,0.0305894430952429,0.00597542444466726,0.953333333333333,-0.385654562412152,-0.0856545624121521,0.0164496103605674,0.893333333333333
"mu4",-0.609823117972388,-0.009823117972388,0.0073796406662333,0.96,-0.608328702730729,-0.00832870273072928,0.0102664440294512,0.963333333333333,-0.607589079581918,-0.00758907958191823,0.0109881025890888,0.963333333333333,-0.627964837435465,-0.0279648374354651,0.0111150404477554,0.966666666666667
"Sig11",0.124221898607051,0.0242218986070505,0.262269961009881,0.926666666666667,0.141162897705944,0.041162897705944,0.266082341276523,0.95,0.141967656954787,0.0419676569547869,0.270504646388131,0.943333333333333,0.147648456731735,0.0476484567317353,0.24591766139772,0.93
"Sig22",0.131743329620622,0.0317433296206219,0.170879899062017,0.943333333333333,0.138381269769433,0.0383812697694326,0.170547401907107,0.95,0.139734062028434,0.0397340620284337,0.170270966017909,0.943333333333333,0.159601888242495,0.0596018882424952,0.183954283575761,0.93
"Sig33",0.130046802166155,0.0300468021661546,0.166370191327993,0.943333333333333,0.134530299574571,0.0345302995745706,0.156877331182083,0.946666666666667,0.142216086236698,0.0422160862366979,0.141503869968473,0.913333333333333,0.19729296254481,0.0972929625448104,0.244973260290289,0.83
"Sig44",0.142341796290146,0.0423417962901463,0.511132005827576,0.966666666666667,0.174902922777231,0.0749029227772305,0.511926627852472,0.953333333333333,0.183701636997019,0.0837016369970192,0.511612814003774,0.936666666666667,0.188182073133937,0.088182073133937,0.540265812857406,0.93
