"","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95"
"mu1",0.522414173224152,0.0224141732241524,0.0256160261433415,0.953333333333333,0.51296810647981,0.0129681064798102,0.0539028459183443,0.94,0.494708914360954,-0.00529108563904601,0.0551501502268581,0.943333333333333,0.542817716232655,0.0428177162326552,0.103809967505311,0.986666666666667
"mu2",0.991140273879808,-0.00885972612019226,0.0253614762090537,0.946666666666667,0.991758275566521,-0.00824172443347881,0.0394523906184612,0.956666666666667,0.965037830755895,-0.0349621692441053,0.0385483661460607,0.956666666666667,0.985760193326706,-0.0142398066732936,0.109082476777173,0.98
"mu3",0.487617655277461,-0.0123823447225392,0.0248371402441435,0.933333333333333,0.482548864630268,-0.0174511353697325,0.0251674583855009,0.95,0.476166919468232,-0.0238330805317676,0.0259760661485263,0.946666666666667,0.509881409545754,0.00988140954575378,0.0879907842396248,0.993333333333333
"mu4",0.253683168862373,0.00368316886237269,0.0303673260591889,0.936666666666667,0.248981801582715,-0.00101819841728526,0.0410193227831948,0.943333333333333,0.248671642770624,-0.00132835722937616,0.0377086252185255,0.94,0.221461581345916,-0.0285384186540839,0.115834515457331,0.98
"Sig11",1.15028069183361,0.150280691833615,0.253201852919189,0.933333333333333,1.32142990555785,0.321429905557849,0.290934739438534,0.913333333333333,1.33179594797716,0.331795947977161,0.310441235865904,0.913333333333333,2.23089041223964,1.23089041223964,0.310992251272656,0.86
"Sig22",1.10911032875413,0.109110328754128,0.0253614762090537,0.97,1.19206676196548,0.192066761965484,0.0394523906184612,0.956666666666667,1.13820537948696,0.138205379486965,0.0385483661460607,0.96,2.18149426429138,1.18149426429138,0.109082476777173,0.906666666666667
"Sig33",1.12852427713993,0.128524277139926,0.287219484966683,0.94,1.13741126799536,0.137411267995361,0.292618593755233,0.933333333333333,1.15227475267924,0.152274752679243,0.299809146680294,0.923333333333333,2.22054225219303,1.22054225219303,0.328109374693871,0.883333333333333
"Sig44",1.1672359092584,0.167235909258396,0.58734257276563,0.92,1.2078896033288,0.207889603328805,0.605046620409123,0.913333333333333,1.16551049039853,0.16551049039853,0.60220116106259,0.923333333333333,2.17985929069573,1.17985929069573,0.721142143438457,0.923333333333333
