"","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95","Est","Bias","MSE","CredCov95"
"mu1",0.522399488379316,0.0223994883793162,0.0256143804967315,0.953333333333333,0.51296810647981,0.0129681064798102,0.0539028459183443,0.94,0.494509354510343,-0.00549064548965716,0.0553332914135572,0.94,0.542817716232655,0.0428177162326552,0.103809967505311,0.986666666666667
"mu2",0.99115133588319,-0.00884866411680962,0.025365294894688,0.946666666666667,0.991758275566521,-0.00824172443347881,0.0394523906184612,0.956666666666667,0.964965912566966,-0.0350340874330336,0.0385244112383994,0.956666666666667,0.985760193326706,-0.0142398066732936,0.109082476777173,0.98
"mu3",0.487641406056408,-0.0123585939435916,0.0248371585629568,0.933333333333333,0.482548864630268,-0.0174511353697325,0.0251674583855009,0.95,0.476170887911771,-0.0238291120882287,0.0259757111903585,0.946666666666667,0.509881409545754,0.00988140954575378,0.0879907842396248,0.993333333333333
"mu4",0.253686407426643,0.00368640742664256,0.0303672866738125,0.936666666666667,0.248981801582715,-0.00101819841728526,0.0410193227831948,0.943333333333333,0.248762196240488,-0.00123780375951205,0.0377240026819191,0.94,0.221461581345916,-0.0285384186540839,0.115834515457331,0.98
"Sig11",1.15031641460243,0.150316414602434,0.253214892117415,0.933333333333333,1.32142990555785,0.321429905557849,0.290934739438534,0.913333333333333,1.33180060550392,0.331800605503924,0.310823936903214,0.913333333333333,2.23089041223964,1.23089041223964,0.310992251272656,0.86
"Sig22",1.10911578463823,0.10911578463823,0.025365294894688,0.97,1.19206676196548,0.192066761965484,0.0394523906184612,0.956666666666667,1.13801229916117,0.138012299161172,0.0385244112383994,0.96,2.18149426429138,1.18149426429138,0.109082476777173,0.906666666666667
"Sig33",1.1285294526667,0.128529452666703,0.287195752506548,0.94,1.13741126799536,0.137411267995361,0.292618593755233,0.933333333333333,1.15237802300399,0.152378023003988,0.299804823278587,0.923333333333333,2.22054225219303,1.22054225219303,0.328109374693871,0.883333333333333
"Sig44",1.16725598786579,0.167255987865786,0.587337675533849,0.92,1.2078896033288,0.207889603328805,0.605046620409123,0.913333333333333,1.16556876834248,0.165568768342483,0.602080708321187,0.923333333333333,2.17985929069573,1.17985929069573,0.721142143438457,0.923333333333333
